+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                 1 |  2 |       NEW |     READY |
|                 2 |  1 |   RUNNING |   WAITING |
|                 2 |  3 |       NEW |     READY |
|                 2 |  3 |     READY |   RUNNING |
|                 3 |  1 |   WAITING |     READY |
|                 4 |  3 |   RUNNING |TERMINATED |
|                 4 |  1 |     READY |   RUNNING |
|                 6 |  1 |   RUNNING |   WAITING |
|                 6 |  2 |     READY |   RUNNING |
|                 7 |  1 |   WAITING |     READY |
|                 9 |  2 |   RUNNING |   WAITING |
|                 9 |  1 |     READY |   RUNNING |
|                11 |  1 |   RUNNING |   WAITING |
|                11 |  2 |   WAITING |     READY |
|                11 |  2 |     READY |   RUNNING |
|                12 |  2 |   RUNNING |TERMINATED |
|                12 |  1 |   WAITING |     READY |
|                12 |  1 |     READY |   RUNNING |
|                14 |  1 |   RUNNING |   WAITING |
|                15 |  1 |   WAITING |     READY |
|                15 |  1 |     READY |   RUNNING |
|                17 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
